"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 17 10:55:10 GMT 2023","Fri Feb 17 10:55:19 GMT 2023","8934","","Verify search functionality","","Verify items on the page","","Verify items on the page",""
"passed","Fri Feb 17 10:56:03 GMT 2023","Fri Feb 17 10:56:19 GMT 2023","16113","","Verify search functionality","","Verify 'DESC' sorting by 'PRICE' criteria","","Verify 'DESC' sorting by 'PRICE' criteria",""
"passed","Fri Feb 17 10:54:25 GMT 2023","Fri Feb 17 10:54:37 GMT 2023","12517","","Verify search functionality","","Verify search for a valid item","","Verify search for a valid item",""
"passed","Fri Feb 17 10:53:43 GMT 2023","Fri Feb 17 10:53:57 GMT 2023","13874","","Verify navigation through main menu","","Verify navigation through main menu for the following Women>>Tops>>Hoodies & Sweatshirts","","Verify navigation through main menu for the following Women>>Tops>>Hoodies & Sweatshirts",""
"passed","Fri Feb 17 10:53:57 GMT 2023","Fri Feb 17 10:54:11 GMT 2023","14043","","Verify navigation through main menu","","Verify navigation through main menu for the following Women>>Tops>>Bras & Tanks","","Verify navigation through main menu for the following Women>>Tops>>Bras & Tanks",""
"passed","Fri Feb 17 10:54:11 GMT 2023","Fri Feb 17 10:54:25 GMT 2023","13397","","Verify navigation through main menu","","Verify navigation through main menu for the following Gear>>Bags","","Verify navigation through main menu for the following Gear>>Bags",""
"passed","Fri Feb 17 10:52:50 GMT 2023","Fri Feb 17 10:53:15 GMT 2023","24831","","Verify the structure of the header","","Verify header panel structure","","Verify header panel structure",""
"passed","Fri Feb 17 10:53:30 GMT 2023","Fri Feb 17 10:53:43 GMT 2023","13230","","Verify navigation through main menu","","Verify navigation through main menu for the following Women>>Tops>>Jackets","","Verify navigation through main menu for the following Women>>Tops>>Jackets",""
"passed","Fri Feb 17 10:53:15 GMT 2023","Fri Feb 17 10:53:30 GMT 2023","14508","","Verify navigation through main menu","","Verify navigation through main menu for the following Women>>Tops>>Tees","","Verify navigation through main menu for the following Women>>Tops>>Tees",""
"passed","Fri Feb 17 10:55:02 GMT 2023","Fri Feb 17 10:55:10 GMT 2023","8381","","Verify search functionality","","Verify search form auto complete","","Verify search form auto complete",""
"passed","Fri Feb 17 10:54:51 GMT 2023","Fri Feb 17 10:55:02 GMT 2023","10424","","Verify search functionality","","Verify search for an item GRID view","","Verify search for an item GRID view",""
"passed","Fri Feb 17 10:56:20 GMT 2023","Fri Feb 17 10:56:39 GMT 2023","19564","","Verify search functionality","","Verify 'ASC' sorting by 'PRODUCT_NAME' criteria","","Verify 'ASC' sorting by 'PRODUCT_NAME' criteria",""
"passed","Fri Feb 17 10:55:19 GMT 2023","Fri Feb 17 10:55:28 GMT 2023","9605","","Verify search functionality","","Verify items on the page with pagination","","Verify items on the page with pagination",""
"passed","Fri Feb 17 10:56:39 GMT 2023","Fri Feb 17 10:56:55 GMT 2023","15859","","Verify search functionality","","Verify navigation to the next page","","Verify navigation to the next page",""
"passed","Fri Feb 17 10:54:37 GMT 2023","Fri Feb 17 10:54:51 GMT 2023","14012","","Verify search functionality","","Verify search for an item LIST view","","Verify search for an item LIST view",""
"passed","Fri Feb 17 10:55:29 GMT 2023","Fri Feb 17 10:55:45 GMT 2023","16212","","Verify search functionality","","Verify 'DESC' sorting by 'PRODUCT_NAME' criteria","","Verify 'DESC' sorting by 'PRODUCT_NAME' criteria",""
"passed","Fri Feb 17 10:55:45 GMT 2023","Fri Feb 17 10:56:03 GMT 2023","18560","","Verify search functionality","","Verify 'ASC' sorting by 'PRICE' criteria","","Verify 'ASC' sorting by 'PRICE' criteria",""
