"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 09 12:06:40 GMT 2023","Thu Feb 09 12:06:46 GMT 2023","5558","","Verify search functionality","","Verify 'DESC' sorting by 'PRODUCT_NAME' criteria","","Verify 'DESC' sorting by 'PRODUCT_NAME' criteria",""
"passed","Thu Feb 09 12:06:25 GMT 2023","Thu Feb 09 12:06:26 GMT 2023","1780","","Verify the structure of the header","","Verify header panel structure","","Verify header panel structure",""
"passed","Thu Feb 09 12:06:26 GMT 2023","Thu Feb 09 12:06:32 GMT 2023","5332","","Verify search functionality","","Verify search for an item LIST view","","Verify search for an item LIST view",""
"passed","Thu Feb 09 12:06:09 GMT 2023","Thu Feb 09 12:06:25 GMT 2023","15499","","Verify the structure of the header","","Verify header panel welcome message","","Verify header panel welcome message",""
"passed","Thu Feb 09 12:06:35 GMT 2023","Thu Feb 09 12:06:38 GMT 2023","2591","","Verify search functionality","","Verify items on the page","","Verify items on the page",""
"passed","Thu Feb 09 12:06:58 GMT 2023","Thu Feb 09 12:07:05 GMT 2023","6758","","Verify search functionality","","Verify 'ASC' sorting by 'PRODUCT_NAME' criteria","","Verify 'ASC' sorting by 'PRODUCT_NAME' criteria",""
"passed","Thu Feb 09 12:06:32 GMT 2023","Thu Feb 09 12:06:35 GMT 2023","3252","","Verify search functionality","","Verify search for an item GRID view","","Verify search for an item GRID view",""
"passed","Thu Feb 09 12:06:46 GMT 2023","Thu Feb 09 12:06:53 GMT 2023","7038","","Verify search functionality","","Verify 'ASC' sorting by 'PRICE' criteria","","Verify 'ASC' sorting by 'PRICE' criteria",""
"passed","Thu Feb 09 12:06:53 GMT 2023","Thu Feb 09 12:06:58 GMT 2023","5217","","Verify search functionality","","Verify 'DESC' sorting by 'PRICE' criteria","","Verify 'DESC' sorting by 'PRICE' criteria",""
"passed","Thu Feb 09 12:06:38 GMT 2023","Thu Feb 09 12:06:40 GMT 2023","2429","","Verify search functionality","","Verify items on the page with pagination","","Verify items on the page with pagination",""
"passed","Thu Feb 09 12:07:05 GMT 2023","Thu Feb 09 12:07:09 GMT 2023","4475","","Verify search functionality","","Verify navigation to the next page","","Verify navigation to the next page",""
