"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Feb 14 08:45:02 GMT 2023","Tue Feb 14 08:45:08 GMT 2023","6516","","Verify search functionality","","Verify search for an item LIST view","","Verify search for an item LIST view",""
"passed","Tue Feb 14 08:45:21 GMT 2023","Tue Feb 14 08:45:26 GMT 2023","5297","","Verify search functionality","","Verify items on the page with pagination","","Verify items on the page with pagination",""
"passed","Tue Feb 14 08:45:16 GMT 2023","Tue Feb 14 08:45:21 GMT 2023","4504","","Verify search functionality","","Verify items on the page","","Verify items on the page",""
"passed","Tue Feb 14 08:45:33 GMT 2023","Tue Feb 14 08:45:42 GMT 2023","9060","","Verify search functionality","","Verify 'ASC' sorting by 'PRICE' criteria","","Verify 'ASC' sorting by 'PRICE' criteria",""
"passed","Tue Feb 14 08:45:49 GMT 2023","Tue Feb 14 08:45:58 GMT 2023","8647","","Verify search functionality","","Verify 'ASC' sorting by 'PRODUCT_NAME' criteria","","Verify 'ASC' sorting by 'PRODUCT_NAME' criteria",""
"passed","Tue Feb 14 08:45:42 GMT 2023","Tue Feb 14 08:45:49 GMT 2023","6715","","Verify search functionality","","Verify 'DESC' sorting by 'PRICE' criteria","","Verify 'DESC' sorting by 'PRICE' criteria",""
"passed","Tue Feb 14 08:44:26 GMT 2023","Tue Feb 14 08:44:32 GMT 2023","6299","","Verify navigation through main menu","","Verify navigation through main menu for the following Women>>Tops>>Tees","","Verify navigation through main menu for the following Women>>Tops>>Tees",""
"passed","Tue Feb 14 08:44:50 GMT 2023","Tue Feb 14 08:44:56 GMT 2023","5730","","Verify navigation through main menu","","Verify navigation through main menu for the following Gear>>Bags","","Verify navigation through main menu for the following Gear>>Bags",""
"passed","Tue Feb 14 08:45:26 GMT 2023","Tue Feb 14 08:45:33 GMT 2023","7205","","Verify search functionality","","Verify 'DESC' sorting by 'PRODUCT_NAME' criteria","","Verify 'DESC' sorting by 'PRODUCT_NAME' criteria",""
"passed","Tue Feb 14 08:44:08 GMT 2023","Tue Feb 14 08:44:26 GMT 2023","17398","","Verify the structure of the header","","Verify header panel structure","","Verify header panel structure",""
"passed","Tue Feb 14 08:44:32 GMT 2023","Tue Feb 14 08:44:38 GMT 2023","5854","","Verify navigation through main menu","","Verify navigation through main menu for the following Women>>Tops>>Jackets","","Verify navigation through main menu for the following Women>>Tops>>Jackets",""
"passed","Tue Feb 14 08:44:44 GMT 2023","Tue Feb 14 08:44:50 GMT 2023","6060","","Verify navigation through main menu","","Verify navigation through main menu for the following Women>>Tops>>Bras & Tanks","","Verify navigation through main menu for the following Women>>Tops>>Bras & Tanks",""
"broken","Tue Feb 14 08:45:13 GMT 2023","Tue Feb 14 08:45:16 GMT 2023","3692","","Verify search functionality","","Verify search form auto complete","","Verify search form auto complete",""
"broken","Tue Feb 14 08:44:56 GMT 2023","Tue Feb 14 08:45:02 GMT 2023","5876","","Verify search functionality","","Verify search for a valid item","","Verify search for a valid item",""
"passed","Tue Feb 14 08:44:38 GMT 2023","Tue Feb 14 08:44:44 GMT 2023","5850","","Verify navigation through main menu","","Verify navigation through main menu for the following Women>>Tops>>Hoodies & Sweatshirts","","Verify navigation through main menu for the following Women>>Tops>>Hoodies & Sweatshirts",""
"broken","Tue Feb 14 08:45:58 GMT 2023","Tue Feb 14 08:46:04 GMT 2023","6440","","Verify search functionality","","Verify navigation to the next page","","Verify navigation to the next page",""
"broken","Tue Feb 14 08:45:08 GMT 2023","Tue Feb 14 08:45:13 GMT 2023","4510","","Verify search functionality","","Verify search for an item GRID view","","Verify search for an item GRID view",""
