"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 09 12:09:51 GMT 2023","Thu Feb 09 12:09:57 GMT 2023","5580","","Verify search functionality","","Verify 'DESC' sorting by 'PRODUCT_NAME' criteria","","Verify 'DESC' sorting by 'PRODUCT_NAME' criteria",""
"broken","Thu Feb 09 12:09:17 GMT 2023","Thu Feb 09 12:09:48 GMT 2023","31517","","Verify search functionality","","Verify items on the page","","Verify items on the page",""
"passed","Thu Feb 09 12:08:48 GMT 2023","Thu Feb 09 12:09:06 GMT 2023","18014","","Verify the structure of the header","","Verify header panel welcome message","","Verify header panel welcome message",""
"passed","Thu Feb 09 12:09:48 GMT 2023","Thu Feb 09 12:09:51 GMT 2023","2889","","Verify search functionality","","Verify items on the page with pagination","","Verify items on the page with pagination",""
"passed","Thu Feb 09 12:09:08 GMT 2023","Thu Feb 09 12:09:13 GMT 2023","5158","","Verify search functionality","","Verify search for an item LIST view","","Verify search for an item LIST view",""
"passed","Thu Feb 09 12:09:13 GMT 2023","Thu Feb 09 12:09:17 GMT 2023","3437","","Verify search functionality","","Verify search for an item GRID view","","Verify search for an item GRID view",""
"passed","Thu Feb 09 12:09:06 GMT 2023","Thu Feb 09 12:09:08 GMT 2023","2024","","Verify the structure of the header","","Verify header panel structure","","Verify header panel structure",""
"passed","Thu Feb 09 12:09:57 GMT 2023","Thu Feb 09 12:10:05 GMT 2023","8156","","Verify search functionality","","Verify 'ASC' sorting by 'PRICE' criteria","","Verify 'ASC' sorting by 'PRICE' criteria",""
"passed","Thu Feb 09 12:10:05 GMT 2023","Thu Feb 09 12:10:10 GMT 2023","5388","","Verify search functionality","","Verify 'DESC' sorting by 'PRICE' criteria","","Verify 'DESC' sorting by 'PRICE' criteria",""
"passed","Thu Feb 09 12:10:10 GMT 2023","Thu Feb 09 12:10:17 GMT 2023","6653","","Verify search functionality","","Verify 'ASC' sorting by 'PRODUCT_NAME' criteria","","Verify 'ASC' sorting by 'PRODUCT_NAME' criteria",""
"passed","Thu Feb 09 12:10:17 GMT 2023","Thu Feb 09 12:10:21 GMT 2023","4497","","Verify search functionality","","Verify navigation to the next page","","Verify navigation to the next page",""
