"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Feb 09 10:43:15 GMT 2023","Thu Feb 09 10:43:47 GMT 2023","31478","","Verify search functionality","","Verify search for an item GRID view","","Verify search for an item GRID view",""
"broken","Thu Feb 09 10:44:04 GMT 2023","Thu Feb 09 10:44:36 GMT 2023","31480","","Verify search functionality","","Verify 'DESC' sorting by 'PRICE' criteria","","Verify 'DESC' sorting by 'PRICE' criteria",""
"broken","Thu Feb 09 10:44:44 GMT 2023","Thu Feb 09 10:45:15 GMT 2023","31483","","Verify search functionality","","Verify navigation to the next page","","Verify navigation to the next page",""
"passed","Thu Feb 09 10:43:49 GMT 2023","Thu Feb 09 10:43:52 GMT 2023","2460","","Verify search functionality","","Verify items on the page with pagination","","Verify items on the page with pagination",""
"passed","Thu Feb 09 10:43:57 GMT 2023","Thu Feb 09 10:44:04 GMT 2023","7132","","Verify search functionality","","Verify 'ASC' sorting by 'PRICE' criteria","","Verify 'ASC' sorting by 'PRICE' criteria",""
"passed","Thu Feb 09 10:43:10 GMT 2023","Thu Feb 09 10:43:15 GMT 2023","5392","","Verify search functionality","","Verify search for an item LIST view","","Verify search for an item LIST view",""
"passed","Thu Feb 09 10:43:52 GMT 2023","Thu Feb 09 10:43:57 GMT 2023","5398","","Verify search functionality","","Verify 'DESC' sorting by 'PRODUCT_NAME' criteria","","Verify 'DESC' sorting by 'PRODUCT_NAME' criteria",""
"passed","Thu Feb 09 10:42:52 GMT 2023","Thu Feb 09 10:43:08 GMT 2023","16341","","Verify the structure of the header","","Verify header panel welcome message","","Verify header panel welcome message",""
"passed","Thu Feb 09 10:43:47 GMT 2023","Thu Feb 09 10:43:49 GMT 2023","2591","","Verify search functionality","","Verify items on the page","","Verify items on the page",""
"passed","Thu Feb 09 10:43:08 GMT 2023","Thu Feb 09 10:43:10 GMT 2023","1748","","Verify the structure of the header","","Verify header panel structure","","Verify header panel structure",""
"passed","Thu Feb 09 10:44:36 GMT 2023","Thu Feb 09 10:44:44 GMT 2023","7640","","Verify search functionality","","Verify 'ASC' sorting by 'PRODUCT_NAME' criteria","","Verify 'ASC' sorting by 'PRODUCT_NAME' criteria",""
